season_number,season_id,player_id,player_name,team_id,position,age,ovr,potential,origin_type,wage,match_form,state_score,contract_score,recent_match_score,fitness_score,match_load_score,match_rust_score,attribute_modifier_pct,stamina_modifier,fitness,fatigue,current_injury_severity,current_injury_part,current_injury_remaining_days,season_injuries,max_body_wear,max_body_wear_part,attribute_progress_total,attrs_at_20,recent_ratings,recent_minutes,matches,goals,assists,shots,shots_on_target,passes,passes_succ,key_passes,crosses,crosses_succ,tackles,tackles_succ,interceptions,clearances,blocks,average_rating
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,89e40867-daec-48ad-abb5-804816ba1ccd,魏蕤,1bca70a3-4eef-4c37-a813-dc31a2449ada,DF,25,64,C,generated,49258.0,GOOD,3,0,2,1,-1,0,0.012,3.0,92,92,0,,0,0,1.5,quadriceps,1.27,0,"[6.9, 8.1, 8.2]","[50, 50, 50]",17,3,4,9,5,296,242,6,3,0,33,30,40,10,10,7.6
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,c40ec5c8-8966-466b-9ac9-6524081c538c,呼延柏峰,559778f0-b109-4ac7-ae6b-55a0e1f6a637,GK,29,68,A,generated,72000.0,NEUTRAL,1,0,0,1,-1,0,0.004,3.0,92,41,0,,0,0,0.5,groin,-13.51,0,"[8.0, 5.8, 7.6]","[50, 50, 50]",16,0,0,0,0,342,277,0,0,0,0,0,0,0,0,6.95
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,fbb2e79f-3386-49da-b811-1759bb0f0dd1,梅奇斯瓦夫 苏佳金,9c3f62b5-f72e-4891-95ad-a857a433ca82,MF,27,64,B,generated,54183.0,GOOD,3,-1,4,0,-1,0,0.012,0.0,85,73,0,,0,0,1.5,back,2.0,0,"[9.0, 7.8, 7.8]","[50, 50, 50]",16,4,2,35,19,326,295,12,2,2,41,30,23,15,9,7.78
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,492a4059-9a49-4b62-8d7c-7bb151ba8357,贤彬 虎,005f94ee-3a2a-40f1-ad73-05fd63a5281a,FW,26,55,D,generated,32576.0,GOOD,4,0,4,0,-1,0,0.016,-4.0,85,89,0,,0,0,2.5,shoulder,-8.31,0,"[8.8, 8.1, 8.1]","[50, 50, 70]",16,10,4,39,18,232,162,17,17,8,41,22,32,8,8,8.28
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,2c34f9ec-de0b-4570-bea8-ca197bd1ecd5,埃赫桑 萨尔曼,a2f46fad-5aeb-4f76-ad2c-8a3f800463ed,MF,22,63,C,generated,41501.0,GOOD,3,0,4,-1,-1,0,0.012,-10.0,67,100,0,,0,0,4.2,hamstring,11.47,0,"[9.3, 7.8, 8.2]","[50, 50, 50]",18,6,1,24,14,360,296,16,6,4,46,35,45,21,13,8.41
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,9f73d9e9-7562-4165-b823-8915a4d206ca,刘鲁,dc751c04-9e63-4994-b8f4-4bdda84029ec,GK,36,24,C,generated,18480.0,LOW,-3,0,-3,0,-1,0,-0.012,-4.0,92,39,0,,0,0,2.4,quadriceps,-9.25,0,"[4.5, 7.5, 5.4]","[50, 50, 50]",15,0,0,0,0,88,33,0,0,0,0,0,0,0,0,5.69
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,957450f0-b5b3-4a0d-bfe2-921eb203e2e9,拉乌尔 勒鲁瓦,aab61aed-8550-4c7f-9023-4dc8c8520b02,MF,26,61,D,generated,49882.0,LOW,-2,0,-1,1,-1,-2,-0.008,3.0,90,17,0,,0,0,3.5,quadriceps,-3.45,0,"[6.5, 6.7, 6.0]","[50, 50, 50]",5,1,0,4,2,26,26,0,0,0,5,5,2,3,0,6.98
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,0147531b-5f4e-400b-ae20-a1c857d4159c,斯泰恩 热拉尔,dad9f46a-edd9-4c9f-a330-554147e332d4,FW,19,76,A,generated,69048.0,NEUTRAL,-1,0,0,-1,-1,0,-0.004,-10.0,83,82,0,,0,0,2.2,hamstring,12.63,0,"[6.6, 7.2, 7.0]","[50, 50, 50]",17,6,0,31,19,200,135,0,4,0,33,20,30,24,15,7.61
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,7e307370-31b5-417c-a893-be20fd1ca37e,贤宇 季,dad9f46a-edd9-4c9f-a330-554147e332d4,GK,32,50,D,generated,31327.0,LOW,-6,-1,-3,-2,-1,0,-0.024,-18.0,69,82,0,,0,0,2.5,hamstring,-13.29,0,"[4.8, 3.9, 7.8]","[50, 50, 50]",17,0,1,0,0,209,117,0,0,0,0,0,0,0,0,6.68
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,219684b2-778e-4126-81a6-49bcbf40c530,炫优 满,976b4430-e657-4fb2-b501-726b97cbad41,FW,32,54,C,generated,40908.0,NEUTRAL,1,0,2,-1,-1,0,0.004,-10.0,86,77,0,,0,0,2.5,hamstring,-8.86,0,"[6.7, 7.8, 8.6]","[50, 50, 50]",15,8,2,40,16,287,203,6,7,2,35,16,16,16,3,7.87
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,b7c1fc87-6857-476a-b939-46510109ed39,谢苗 索洛维约夫,334be2da-8b16-4437-b63b-d7acd3b03a9e,MF,36,23,D,generated,16454.0,GOOD,2,0,2,0,-1,0,0.008,-4.0,100,77,0,,0,0,0.0,hamstring,-9.25,0,"[8.5, 7.0, 8.1]","[50, 50, 50]",15,2,2,17,6,214,168,5,1,1,50,37,25,18,15,7.66
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,aa5f42ea-7abb-4da3-88ac-dd27ad585573,伊斯梅尔 莫拉莱斯,a5d58fbb-fac6-4e65-8cd1-dac7a4e348c9,DF,29,64,A,generated,84000.0,NEUTRAL,0,0,0,0,-1,0,0.0,-4.0,83,92,0,,0,0,3.5,back,-12.67,0,"[6.0, 8.0, 7.3]","[50, 50, 50]",15,0,1,5,1,293,252,5,2,0,31,30,20,3,6,7.13
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,292d5440-845c-4e2f-ac23-1884747798ff,白程泓,1ed96a19-f08f-4330-8188-88db7a868211,MF,29,49,C,generated,23856.0,GOOD,2,0,2,0,-1,0,0.008,-4.0,84,78,0,,0,0,2.5,groin,-12.85,0,"[7.5, 7.7, 7.8]","[50, 50, 50]",15,4,1,25,11,437,371,12,8,7,37,28,18,16,4,7.89
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,996ab009-46ff-4207-9a8a-9842b00489a0,彭志明,316f2929-d19f-4c56-b218-2dfcb757ece9,FW,25,48,D,generated,21712.0,NEUTRAL,0,0,0,0,-1,0,0.0,-4.0,88,67,0,,0,0,3.5,ankle,1.58,0,"[6.4, 6.8, 7.8]","[50, 50, 50]",15,5,2,41,22,190,116,14,12,5,30,13,16,16,10,7.57
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,6966829b-0e77-4da2-93b9-872ac65087b6,正彦 清水,005f94ee-3a2a-40f1-ad73-05fd63a5281a,FW,29,48,C,generated,23072.0,NEUTRAL,0,0,0,0,-1,0,0.0,-4.0,85,89,0,,0,0,2.5,shoulder,-3.92,0,"[5.6, 7.6, 7.4]","[50, 50, 70]",16,5,5,28,10,187,99,14,19,8,40,16,26,10,3,7.39
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,2247d883-efd7-47e7-b40e-8d9773b2d600,许星航,b7c1bbc5-f8f4-449d-a4db-fef985ee6697,FW,24,58,D,generated,33718.0,GOOD,2,0,2,0,-1,0,0.008,0.0,100,65,0,,0,0,0.0,hamstring,14.1,0,"[9.7, 7.0, 7.0]","[50, 50, 50]",15,6,3,21,7,274,183,9,12,4,34,23,30,20,9,7.65
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,0a1a089a-3a4d-4398-8440-813c1379fe3f,風馬 野村,39d25d4b-7b8d-4631-bf1c-47ceb3e05660,MF,26,65,C,generated,66560.0,NEUTRAL,-1,-1,2,-2,-1,0,-0.004,-18.0,100,31,0,,0,0,0.0,hamstring,1.01,0,"[8.7, 6.7, 7.3]","[50, 50, 50]",17,2,2,13,3,265,214,10,4,3,35,29,22,9,17,7.64
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,185f8a8f-62bb-475d-bde7-aea1fc213174,福特 弗林,37e6f3af-aa8e-4a58-ad7e-06607d81ea59,MF,30,60,B,generated,75880.0,GOOD,2,0,2,0,-1,0,0.008,-4.0,98,73,0,,0,1,0.0,hamstring,-8.45,0,"[7.9, 7.0, 7.5]","[50, 70, 50]",22,15,2,32,19,492,441,8,4,1,36,31,39,7,20,8.57
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,837b65a5-7d10-4502-b6a0-5f2b341f2e83,亨德拉 拉玛,d7c7eddf-cd81-494c-b001-be4a71ad0b06,MF,27,50,B,generated,18513.0,NEUTRAL,0,-1,0,1,-1,0,0.0,3.0,91,98,0,,0,0,2.5,ankle,3.23,0,"[6.8, 8.9, 5.3]","[50, 50, 50]",17,0,6,14,4,302,263,10,3,3,43,30,29,15,5,7.39
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,c6bf7e5e-6887-482e-b0fe-26e517939c22,哈尔多尔 哈康,361593df-7e23-400a-9d2c-ecd1f0b74d2d,MF,32,67,B,generated,47250.0,GOOD,3,0,2,1,-1,0,0.012,3.0,91,79,0,,0,0,1.5,hamstring,-8.11,0,"[6.8, 7.6, 7.2]","[50, 50, 50]",15,5,5,25,12,274,235,13,7,4,34,27,20,6,9,7.92
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,61bb5fb2-e605-4175-abfa-f6260e187c6e,约瑟夫 贾尔迪诺,2167a562-d920-4417-9a13-3f0e59aa3300,FW,30,60,D,generated,34628.0,GOOD,5,0,4,1,-1,0,0.02,3.0,100,66,0,,0,0,0.0,hamstring,-13.7,0,"[8.0, 8.7, 9.0]","[50, 50, 50]",16,11,2,34,21,196,121,7,11,5,23,14,32,17,11,8.16
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,90c72942-b7d6-471f-97ee-01ab9ab8b1de,赖利 詹姆斯,cac5c50e-39a5-4e52-8379-9fc190b9ea1a,DF,26,47,A,generated,22288.0,NEUTRAL,-1,0,0,0,-1,-1,-0.004,0.0,100,15,0,,0,0,0.0,hamstring,4.25,0,"[6.0, 7.6, 5.9]","[50, 50, 50]",3,1,0,3,1,14,6,0,0,0,1,1,0,0,0,6.53
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,4eb381a9-852a-46af-8687-7fca8a812f3d,史新翰,4bfe0d3b-67f1-4138-a7c4-390858fd8805,MF,23,53,B,generated,21683.0,GOOD,4,0,4,0,-1,0,0.016,0.0,100,75,0,,0,0,0.0,hamstring,14.06,0,"[6.8, 10.0, 10.0]","[50, 50, 50]",15,10,4,26,19,227,151,11,9,5,24,16,21,7,8,7.87
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,b73e2b39-8568-4162-9372-76b5ed8a46ed,唐沐初,3944d080-1547-4aba-a09d-d9a16aa3b189,GK,36,41,C,generated,46024.0,NEUTRAL,-1,0,-1,0,-1,0,-0.004,-4.0,76,72,0,,0,0,0.0,hamstring,-13.54,0,"[5.6, 7.2, 5.4]","[50, 50, 50]",18,0,0,0,0,185,115,0,0,0,0,0,0,0,0,6.47
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,53c301bd-26da-457c-bcb9-f45ad4ddbfa8,杨越铭,7c39aa84-9d80-44fb-a847-f8f6335f45cc,FW,22,51,D,generated,18360.0,GOOD,5,0,4,1,-1,0,0.02,3.0,97,92,0,,0,0,0.0,hamstring,12.25,0,"[9.2, 10.0, 9.1]","[50, 50, 50]",18,7,2,28,16,263,161,13,9,6,41,21,30,19,23,8.08
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,344cd633-71ff-451e-b276-d20acfe9fd73,兹比格涅夫 齐布尔科娃,bf8924ce-82ed-4fd5-8f66-f2f20802f7ff,MF,25,46,D,generated,14688.0,LOW,-3,-1,0,0,-1,-2,-0.012,0.0,79,43,0,,0,0,4.5,knee,-1.86,0,"[6.9, 6.8, 6.5]","[50, 50, 50]",3,0,0,0,0,25,20,2,1,0,5,3,4,0,1,6.7
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,e0b23973-6683-482b-9223-5b6f156e0591,查里东 安布罗西尼,309aa234-e043-40be-bb44-0a3ff6aff9ba,FW,19,63,C,generated,24550.0,GOOD,4,0,4,0,-1,0,0.016,0.0,84,79,0,,0,0,4.2,ankle,11.55,0,"[7.1, 10.0, 7.1]","[50, 50, 50]",16,14,6,50,28,314,237,15,8,6,45,29,31,29,8,8.68
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,f531fc07-f887-48fd-842e-313f3272426b,钟文绚,8ab04bd0-c70f-4d09-a60b-b02de236ff78,DF,24,51,C,generated,18360.0,NEUTRAL,1,0,0,1,-1,0,0.004,3.0,96,75,0,,0,0,0.0,hamstring,14.79,0,"[6.7, 6.3, 6.9]","[50, 50, 50]",8,0,0,1,0,83,52,3,1,1,6,4,13,3,2,6.47
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,90b6e91f-a98f-4cee-8104-081754cef41a,宰贤 墨,bf8924ce-82ed-4fd5-8f66-f2f20802f7ff,MF,27,66,B,generated,77140.0,GOOD,3,-1,4,0,-1,0,0.012,0.0,100,28,0,,0,0,0.0,hamstring,1.52,0,"[10.0, 7.6, 9.0]","[50, 50, 50]",15,9,6,30,12,369,327,16,7,5,41,35,33,12,9,8.76
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,2b796f8c-1988-45dc-9bfa-6da5630bdff4,赛拉斯 赫德,316f2929-d19f-4c56-b218-2dfcb757ece9,GK,29,48,B,generated,23856.0,NEUTRAL,-1,0,-1,0,-1,0,-0.004,-4.0,88,46,0,,0,0,3.5,ankle,-13.45,0,"[7.0, 6.3, 5.2]","[50, 50, 50]",15,0,1,0,0,141,92,1,0,0,0,0,0,0,0,7.11
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,371b58e5-4d34-4b30-88f8-4c4795ba9b87,法比奥 迪马尔科,9f1ff63b-88ac-4322-951c-707bb80aaa55,FW,31,52,D,generated,13923.0,GOOD,2,-2,4,0,-1,0,0.008,0.0,86,99,0,,0,0,2.5,quadriceps,-4.8,0,"[9.5, 7.4, 8.2]","[50, 50, 50]",16,5,3,35,13,197,116,10,14,5,41,24,27,7,6,7.56
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,cf62ab70-49a0-4f95-8bd3-d22ee55ce3e2,育塔蓬 汶摧,e8dc7dba-8571-46c0-9239-0490b4a78364,FW,35,40,D,generated,31327.0,LOW,-2,0,-1,1,-1,-2,-0.008,3.0,85,46,0,,0,1,2.4,hamstring,-11.7,0,"[6.6, 6.3, 6.4]","[50, 50, 50]",11,1,0,4,1,91,52,1,2,1,10,5,7,3,5,6.65
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,6f4e32d7-e6f1-47e8-a0d6-2dac08325c14,斯皮罗斯 特赫罗,70e71305-3284-4356-ac1b-237136249a53,MF,23,49,A,generated,16294.0,LOW,-2,0,0,0,-1,-2,-0.008,0.0,84,36,0,,0,0,2.2,hamstring,8.22,0,"[7.0, 6.2]","[50, 50]",2,0,0,0,0,11,5,1,1,1,6,4,2,1,0,6.6
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,aba60fce-8117-443a-8258-fdb2f2b2d372,齐刚,bd28de97-4b63-43d4-a724-8af4f0193353,FW,22,61,C,generated,39568.0,GOOD,3,-1,4,0,-1,0,0.012,0.0,88,58,0,,0,0,1.2,groin,12.01,0,"[9.0, 10.0, 6.6]","[50, 50, 50]",17,12,4,40,22,282,175,10,9,2,48,30,28,35,22,8.64
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,15e27d43-3f57-4161-aeeb-c579ae4cc5f9,库斯托迪奥 弗洛雷斯,1b6b9f54-0720-4b51-a85c-6fe8b718b702,DF,27,55,D,generated,30096.0,GOOD,5,0,4,1,-1,0,0.02,3.0,100,84,0,,0,0,0.0,hamstring,-8.98,0,"[10.0, 7.4, 7.7]","[50, 50, 50]",16,3,1,29,10,298,215,4,2,2,35,27,33,11,4,7.3
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,1edf2dda-f3ac-400e-8998-b267f1e32307,佩顿 利,7131ee1c-b296-4658-a67e-5ce88236a792,MF,25,46,D,generated,19776.0,GOOD,2,0,2,0,-1,0,0.008,-4.0,84,76,0,,0,0,4.5,knee,2.23,0,"[8.9, 7.1, 7.5]","[50, 50, 50]",15,5,1,21,11,179,120,4,1,0,29,21,31,5,19,7.74
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,17dd7ce5-5cc1-4364-bb5b-84ecce1dc9cf,里克 维瑟,32ae76c7-89f4-4571-a252-9ba389a8b917,DF,22,51,C,generated,18924.0,NEUTRAL,0,0,0,0,-1,0,0.0,-4.0,83,100,0,,0,0,2.2,hamstring,9.37,0,"[8.6, 7.1, 5.8]","[50, 50, 50]",16,3,3,8,5,187,111,4,3,1,21,16,22,9,3,7.0
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,91d7bf94-116d-4d18-9d3f-a2c82e37cb62,钟硕 泉,fd297cdb-1b78-4163-91c3-ea01e41b3bfa,FW,29,54,D,generated,22950.0,GOOD,4,-1,4,1,-1,0,0.016,3.0,100,46,0,,0,0,0.0,hamstring,-13.58,0,"[6.8, 9.8, 10.0]","[50, 50, 50]",16,7,2,27,14,241,144,10,10,4,31,21,21,13,10,7.65
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,83d18064-53f0-4933-b0cc-41a04f66b914,何震栋,6e4ae215-cfc5-4d50-9183-d6d2da9f1520,DF,24,64,B,generated,57950.0,LOW,-2,0,-1,1,-1,-2,-0.008,3.0,96,25,0,,0,0,1.0,ankle,10.29,0,"[6.2, 6.5]","[50, 50]",2,0,0,2,0,14,13,0,0,0,1,1,1,0,0,6.35
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,1a4dddcd-b8e7-4b70-b9a4-4ed684e6c445,珉 熏,a12ba5ff-d25f-4a1f-b3f9-9bdb5ca3e5ae,MF,29,57,D,generated,40755.0,GOOD,2,0,2,0,-1,0,0.008,-4.0,100,78,0,,0,0,0.0,hamstring,-13.42,0,"[7.1, 7.0, 7.7]","[50, 50, 50]",15,0,2,17,5,411,356,12,12,8,32,23,21,11,12,7.65
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,102f8c3f-a7d1-4316-b340-284354113b14,毅 塚本,2c669388-7cbd-4142-b300-41771cecd7dd,MF,18,56,C,generated,20056.0,GOOD,2,0,2,0,0,-1,0.008,0.0,90,16,0,,0,0,1.2,hamstring,11.88,0,[7.8],[50],1,1,0,2,1,8,6,0,0,0,0,0,0,0,1,7.8
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,58b98c38-3f84-402e-94de-194b0cd70393,曹云乐,57d804a8-26e9-4d95-931c-6aa08af03a55,FW,20,53,B,generated,14364.0,GOOD,3,0,2,1,-1,0,0.012,3.0,100,31,0,,0,0,0.0,hamstring,11.18,0,"[6.2, 6.4, 10.0]","[50, 50, 50]",15,3,3,19,7,188,121,9,7,5,31,14,21,8,13,7.16
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,c2d89259-1045-4cf0-852b-347c9926e7c2,赵质,b72f0876-d015-4952-a70e-e953c03f5e92,FW,21,62,C,generated,27915.0,NEUTRAL,0,0,0,1,-1,-1,0.0,3.0,100,39,0,,0,0,0.0,hamstring,12.93,0,"[6.4, 6.5, 7.8]","[50, 50, 50]",9,1,3,8,1,69,53,3,3,2,9,8,5,6,2,7.13
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,132159dc-898e-494b-bccf-17f5ba2f1924,道夫 安部,a4cb930d-bb48-43ab-beae-4d54115ef801,GK,29,66,B,generated,81750.0,NEUTRAL,0,0,0,0,-1,0,0.0,0.0,93,46,0,,0,0,1.0,knee,-14.82,0,"[6.5, 6.5, 6.8]","[50, 50, 50]",15,0,2,0,0,251,196,0,1,0,0,0,0,0,0,6.81
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,1345019c-142c-42d3-a958-cf25be5e37fe,阿罗尔多 洛伦佐,f6a19b68-d3fe-4a82-9e99-414cfde7de80,MF,24,48,D,generated,18113.0,GOOD,2,0,2,1,0,-2,0.008,3.0,90,27,0,,0,0,2.5,hamstring,8.92,0,[7.2],[50],1,0,0,1,0,6,5,0,0,0,5,5,0,0,0,7.2
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,32911bc9-e593-4bcb-893b-d755d0b0c784,高绍泽,e245c60e-927b-4687-bc46-1e53830ee8c9,FW,31,54,C,generated,46216.0,NEUTRAL,0,0,0,0,-1,0,0.0,-4.0,86,74,0,,0,0,3.5,knee,-10.87,0,"[6.4, 6.8, 7.2]","[50, 50, 50]",16,10,1,29,17,221,146,11,7,4,37,18,23,10,12,8.06
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,2a6afda6-153a-410d-89d8-fae74351df2f,朱智海,d0bb12bc-87e1-4610-8088-30103a0a71cc,FW,27,53,D,generated,29680.0,GOOD,4,0,4,0,-1,0,0.016,0.0,100,61,0,,0,0,0.0,hamstring,-8.48,0,"[10.0, 7.1, 7.8]","[50, 50, 50]",16,7,5,35,20,239,147,14,10,4,38,26,31,27,17,8.25
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,b534586a-ffbd-4928-a52a-ce0ef741a059,卢克 科布,86939701-dae8-4ee7-bd82-b5268a59bc9b,FW,31,51,A,generated,38752.0,NEUTRAL,1,-1,2,0,-1,0,0.004,0.0,82,100,0,,0,0,1.5,back,-11.83,0,"[7.0, 7.6, 7.4]","[50, 50, 50]",19,9,9,40,24,296,191,9,10,3,44,26,39,8,7,7.93
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,8a876e82-cadd-4d44-805d-d6bfd6b64ce0,达米安 钱斯,28a8529d-59aa-4cf8-93f6-0290aa0f0164,MF,25,62,C,generated,42798.0,GOOD,4,-1,4,1,-1,0,0.016,3.0,100,66,0,,0,0,0.0,hamstring,1.42,0,"[7.8, 8.0, 8.5]","[50, 50, 50]",17,10,3,36,14,384,334,9,4,3,41,36,34,13,13,8.59
